interface,last_input,seconds,description,trunk,status,decision
Gi1/0/1,"never,",inf,False,False,DOWN,SHUTDOWN
Gi1/0/2,"00:11:17,",677,True,True,DOWN,KEEP
Gi1/0/3,"never,",inf,True,True,DOWN,KEEP
Gi1/0/4,"never,",inf,True,True,DOWN,KEEP
Gi1/0/5,"never,",inf,False,False,DOWN,SHUTDOWN
Gi1/0/6,"never,",inf,True,False,DOWN,KEEP
Gi1/0/7,"never,",inf,False,False,DOWN,SHUTDOWN
Gi1/0/8,"never,",inf,False,False,DOWN,SHUTDOWN
Gi1/0/9,"never,",inf,True,False,DOWN,KEEP
Gi1/0/10,"never,",inf,False,False,DOWN,SHUTDOWN
Gi1/0/11,"never,",inf,False,False,DOWN,SHUTDOWN
Gi1/0/12,"never,",inf,False,False,DOWN,SHUTDOWN
Gi1/0/13,"never,",inf,False,False,DOWN,SHUTDOWN
Gi1/0/14,"never,",inf,False,False,DOWN,SHUTDOWN
Gi1/0/15,"never,",inf,False,False,DOWN,SHUTDOWN
Gi1/0/16,"never,",inf,False,False,DOWN,SHUTDOWN
Gi1/0/17,"never,",inf,False,False,DOWN,SHUTDOWN
Gi1/0/18,"00:03:37,",217,False,False,UP,KEEP
Gi1/0/19,"never,",inf,False,False,DOWN,SHUTDOWN
Gi1/0/20,"never,",inf,False,False,DOWN,SHUTDOWN
Gi1/0/21,"never,",inf,False,False,DOWN,SHUTDOWN
Gi1/0/22,"never,",inf,False,True,DOWN,KEEP
Gi1/0/23,"never,",inf,False,False,DOWN,SHUTDOWN
Gi1/0/24,"never,",inf,False,False,DOWN,SHUTDOWN
Gi1/0/25,"never,",inf,True,False,DOWN,KEEP
Gi1/0/26,"never,",inf,False,False,DOWN,SHUTDOWN
Gi1/0/27,"never,",inf,False,False,DOWN,SHUTDOWN
Gi1/0/28,"never,",inf,False,False,DOWN,SHUTDOWN
Gi1/0/29,"never,",inf,False,True,DOWN,KEEP
Gi1/0/30,"never,",inf,True,False,DOWN,KEEP
Gi1/0/31,"never,",inf,True,False,DOWN,KEEP
Gi1/0/32,"never,",inf,True,False,DOWN,KEEP
Gi1/0/33,"never,",inf,False,False,DOWN,SHUTDOWN
Gi1/0/34,"never,",inf,False,False,DOWN,SHUTDOWN
Gi1/0/35,"never,",inf,False,False,DOWN,SHUTDOWN
Gi1/0/36,"never,",inf,False,False,DOWN,SHUTDOWN
Gi1/0/37,"never,",inf,False,False,DOWN,SHUTDOWN
Gi1/0/38,"never,",inf,True,False,DOWN,KEEP
Gi1/0/39,"never,",inf,False,False,DOWN,SHUTDOWN
Gi1/0/40,"never,",inf,False,False,DOWN,SHUTDOWN
Gi1/0/41,"never,",inf,True,False,DOWN,KEEP
Gi1/0/42,"never,",inf,False,False,DOWN,SHUTDOWN
Gi1/0/43,"never,",inf,False,False,DOWN,SHUTDOWN
Gi1/0/44,"never,",inf,False,False,DOWN,SHUTDOWN
Gi1/0/45,"never,",inf,False,False,DOWN,SHUTDOWN
Gi1/0/46,"never,",inf,False,False,DOWN,SHUTDOWN
Gi1/0/47,"never,",inf,True,False,DOWN,KEEP
Gi1/0/48,"never,",inf,False,False,DOWN,SHUTDOWN
